Date,Open,High,Low,Adj Close*
2014/3/31,14770,14890,14725,14815
2014/4/1,14825,14920,14745,14900
2014/4/2,14895,15090,14885,15080
2014/4/3,15085,15180,14995,15075
2014/4/4,15085,15170,14815,14875
2014/4/7,14875,14910,14695,14715
2014/4/8,14700,14770,14290,14355
2014/4/9,14370,14550,14290,14505
2014/4/10,14520,14535,13970,14030
2014/4/11,14065,14085,13845,13900
2014/4/14,13880,14150,13830,14090
2014/4/15,14110,14175,13900,14110
2014/4/16,14175,14475,14150,14465
2014/4/17,14440,14530,14360,14495
2014/4/21,14495,14655,14485,14560
2014/4/22,14565,14615,14350,14485
2014/4/23,14475,14560,14430,14500
2014/4/24,14550,14575,14275,14410
2014/4/25,14420,14570,14260,14330
2014/4/28,14310,14415,14225,14390
2014/4/29,14385,14490,14365,14445
2014/4/30,14445,14450,14210,14290
2014/5/1,14295,14495,14295,14455
2014/5/2,14480,14570,14345,14380
2014/5/5,14380,14405,14255,14335
2014/5/6,14345,14355,14175,14240
2014/5/7,14245,14285,14030,14210
2014/5/8,14185,14260,14060,14095
2014/5/9,14080,14270,14070,14175
2014/5/12,14190,14330,14135,14325
2014/5/13,14325,14485,14320,14470
2014/5/14,14450,14455,14240,14250
2014/5/15,14265,14370,14025,14110
2014/5/16,14100,14190,14015,14170
2014/5/19,14185,14195,13905,14125
2014/5/20,14140,14150,13960,13980
2014/5/21,13980,14230,13930,14185
2014/5/22,14190,14440,14155,14390
2014/5/23,14395,14600,14380,14560
2014/5/27,14585,14755,14535,14680
2014/5/28,14665,14725,14565,14650
2014/5/29,14645,14760,14575,14735
2014/5/30,14745,14745,14580,14710
2014/6/2,14735,15090,14720,15050
2014/6/3,15075,15100,14965,15060
2014/6/4,15050,15175,14985,15165
2014/6/5,15155,15170,15015,15160
2014/6/6,15155,15205,15040,15200
2014/6/9,15200,15215,15090,15165
2014/6/10,15155,15185,14910,15015
2014/6/11,15015,15075,14900,14945
2014/6/12,15030,15040,14800,14850
2014/6/13,14865,15145,14805,15050
2014/6/16,15070,15075,14850,14940
2014/6/17,14940,15050,14935,15005
2014/6/18,15005,15210,14995,15155
2014/6/19,15175,15395,15120,15375
2014/6/20,15365,15480,15295,15430
2014/6/23,15440,15445,15265,15320
2014/6/24,15295,15470,15245,15340
2014/6/25,15300,15375,15210,15335
2014/6/26,15325,15345,15210,15310
2014/6/27,15320,15320,15020,15140
2014/6/30,15140,15195,15045,15165
2014/7/1,15170,15440,15145,15410
2014/7/2,15420,15445,15345,15410
2014/7/3,15410,15450,15320,15445
2014/7/7,15455,15525,15290,15310
2014/7/8,15305,15395,15205,15255
2014/7/9,15250,15370,15185,15350
2014/7/10,15365,15370,15005,15115
2014/7/11,15105,15220,15075,15175
2014/7/14,15200,15390,15175,15340
2014/7/15,15345,15445,15320,15395
2014/7/16,15405,15470,15355,15440
2014/7/17,15420,15465,15190,15255
2014/7/18,15240,15350,15100,15325
2014/7/21,15340,15370,15185,15275
2014/7/22,15265,15395,15250,15355
2014/7/23,15340,15380,15315,15355
2014/7/24,15355,15390,15230,15340
2014/7/25,15335,15545,15320,15425
2014/7/28,15425,15595,15410,15565
2014/7/29,15560,15700,15550,15600
2014/7/30,15620,15790,15595,15765
2014/7/31,15765,15770,15460,15490
2014/8/1,15485,15605,15400,15415
2014/8/4,15420,15540,15390,15510
2014/8/5,15500,15525,15165,15230
2014/8/6,15245,15295,15010,15080
2014/8/7,15085,15240,14960,15010
2014/8/8,15010,15065,14660,15010
2014/8/11,15010,15190,14970,15145
2014/8/12,15165,15235,15075,15115
2014/8/13,15125,15330,15105,15305
2014/8/14,15305,15345,15240,15340
2014/8/15,15340,15385,15205,15315
2014/8/18,15315,15435,15300,15425
2014/8/19,15430,15505,15415,15500
2014/8/20,15505,15575,15395,15560
2014/8/21,15555,15655,15515,15650
2014/8/22,15635,15635,15445,15550
2014/8/25,15550,15635,15550,15595
2014/8/26,15575,15610,15460,15545
2014/8/27,15540,15590,15450,15480
2014/8/28,15470,15490,15340,15405
2014/8/29,15420,15465,15355,15445
2014/9/2,15450,15845,15440,15765
2014/9/3,15755,15835,15690,15710
2014/9/4,15700,15775,15610,15710
2014/9/5,15745,15815,15560,15685
2014/9/8,15690,15810,15660,15805
2014/9/9,15810,15820,15635,15670
2014/9/10,15655,15930,15640,15930
2014/9/11,15925,15935,15815,15900
2014/9/12,15850,15920,15790,15830
2014/9/15,15825,15845,15725,15840
2014/9/16,15835,15920,15760,15910
2014/9/17,15910,16005,15785,15980
2014/9/18,15965,16160,15925,16145
2014/9/19,16140,16295,16100,16210
2014/9/22,16210,16235,16075,16100
2014/9/23,16095,16140,15980,16035
2014/9/24,16010,16285,15980,16260
2014/9/25,16245,16360,16095,16125
2014/9/26,16130,16425,16105,16365
2014/9/29,16360,16390,16160,16265
2014/9/30,16280,16280,16070,16200
2014/10/1,16195,16245,15830,15870
2014/10/2,15880,15935,15370,15585
